distance,clock,feature_type,depth,length,width,survey_year
-27.82,,Area Start Launcher,,,,2007
-19.48,06:00:00,Support,,,,2007
-15.78,06:00:00,Support,,,,2007
-12.21,06:00:00,Tap,,,,2007
-6.49,,Support,,,,2007
-5.3,,Flange,,,,2007
-1.38,09:00:00,Tap,,,,2007
0.0,,Valve,,,,2007
1.41,09:00:00,Tap,,,,2007
8.08,09:00:00,Tee,,,,2007
11.21,12:00:00,Tap,,,,2007
15.36,,Bend,,,,2007
21.15,,Area End Launcher,,,,2007
21.57,12:00:00,Magnet,,,,2007
28.38,,Girth Weld,,,,2007
29.8,,Above Ground Marker,,,,2007
33.82,,Bend,,,,2007
39.0,,Girth Weld,,,,2007
46.17,,Bend,,,,2007
53.91,,Girth Weld,,,,2007
93.8,,Girth Weld,,,,2007
98.5,,Bend,,,,2007
103.43,,Girth Weld,,,,2007
107.46,,Bend,,,,2007
125.12,09:04:00,Cluster,16.0,3.55,2.64,2007
127.58,05:50:00,Cluster,18.0,2.0,3.44,2007
128.45,,Girth Weld,,,,2007
143.61,,Girth Weld,,,,2007
175.18,,Girth Weld,,,,2007
215.24,,Girth Weld,,,,2007
255.28,,Girth Weld,,,,2007
262.31,,Bend,,,,2007
268.91,,Girth Weld,,,,2007
308.99,,Girth Weld,,,,2007
349.02,,Girth Weld,,,,2007
354.08,,Bend,,,,2007
359.15,,Girth Weld,,,,2007
376.14,,Girth Weld,,,,2007
379.98,,Bend,,,,2007
384.27,,Girth Weld,,,,2007
407.34,,Girth Weld,,,,2007
412.26,,Bend,,,,2007
417.43,,Girth Weld,,,,2007
429.59,,Girth Weld,,,,2007
434.06,,Bend,,,,2007
446.01,,Girth Weld,,,,2007
486.01,,Girth Weld,,,,2007
526.15,,Girth Weld,,,,2007
566.41,,Girth Weld,,,,2007
605.58,09:48:00,Cluster,10.0,0.86,2.41,2007
606.45,,Girth Weld,,,,2007
636.8,04:38:00,Cluster,15.0,1.85,8.94,2007
637.77,,Girth Weld,,,,2007
642.57,,Bend,,,,2007
647.4,,Girth Weld,,,,2007
651.09,,Bend,,,,2007
655.41,,Girth Weld,,,,2007
668.73,01:34:00,Cluster,21.0,4.67,10.14,2007
668.81,09:38:00,metal loss,40.0,1.02,0.94,2007
670.49,,Girth Weld,,,,2007
674.53,,Bend,,,,2007
678.36,,Girth Weld,,,,2007
679.22,08:16:00,metal loss,25.0,2.36,1.3,2007
679.28,08:50:00,metal loss,15.0,1.61,5.95,2007
687.11,,Girth Weld,,,,2007
697.49,,Girth Weld,,,,2007
737.46,,Girth Weld,,,,2007
743.36,,Bend,,,,2007
748.75,,Girth Weld,,,,2007
754.75,,Girth Weld,,,,2007
785.32,,Girth Weld,,,,2007
823.17,,Girth Weld,,,,2007
863.19,,Girth Weld,,,,2007
903.23,,Girth Weld,,,,2007
943.31,,Girth Weld,,,,2007
949.2,,Bend,,,,2007
955.78,,Girth Weld,,,,2007
957.34,04:17:00,Cluster,28.0,3.46,3.33,2007
957.56,03:44:00,metal loss,17.0,1.14,1.14,2007
985.38,,Girth Weld,,,,2007
992.14,,Bend,,,,2007
999.26,,Girth Weld,,,,2007
1039.3,,Girth Weld,,,,2007
1071.67,12:19:00,metal loss-manufacturing anomaly,18.0,0.67,0.83,2007
1079.26,,Girth Weld,,,,2007
1119.24,,Girth Weld,,,,2007
1159.23,,Girth Weld,,,,2007
1198.08,04:10:00,Cluster,13.0,4.9,1.11,2007
1199.28,,Girth Weld,,,,2007
1204.54,03:56:00,Cluster,13.0,8.21,5.13,2007
1226.73,07:51:00,Cluster,10.0,2.05,0.73,2007
1231.34,03:44:00,Cluster,10.0,4.49,4.88,2007
1238.12,07:51:00,Cluster,10.0,0.97,1.78,2007
1239.25,,Girth Weld,,,,2007
1239.41,03:45:00,Cluster,11.0,0.94,3.88,2007
1242.62,03:31:00,Cluster,11.0,8.17,5.95,2007
1252.92,07:41:00,Cluster,10.0,5.48,5.26,2007
1256.78,03:35:00,Cluster,10.0,1.02,2.2,2007
1262.7,07:45:00,Cluster,11.0,25.08,6.14,2007
1264.27,03:17:00,metal loss,10.0,0.47,0.59,2007
1265.9,03:20:00,Cluster,11.0,7.7,3.98,2007
1275.79,08:16:00,Cluster,10.0,5.03,3.86,2007
1276.9,07:59:00,Cluster,11.0,9.19,5.01,2007
1278.81,07:46:00,Cluster,10.0,5.35,9.59,2007
1279.23,,Girth Weld,,,,2007
1284.35,02:38:00,Cluster,11.0,2.45,7.96,2007
1296.52,08:41:00,Cluster,10.0,1.68,5.01,2007
1296.97,02:45:00,Cluster,10.0,2.5,3.56,2007
1299.79,08:33:00,Cluster,10.0,5.15,4.65,2007
1302.67,01:57:00,metal loss,12.0,0.55,0.55,2007
1319.26,,Girth Weld,,,,2007
1322.91,09:33:00,Cluster,10.0,1.82,2.26,2007
1330.47,08:40:00,Cluster,10.0,9.49,7.52,2007
1341.04,12:49:00,Cluster,10.0,27.71,19.52,2007
1342.19,12:24:00,metal loss,10.0,0.59,0.71,2007
1348.67,12:26:00,metal loss,10.0,0.55,0.71,2007
1349.99,01:40:00,Cluster,11.0,1.61,3.9,2007
1359.24,08:48:00,Cluster,13.0,7.85,12.23,2007
1359.29,,Girth Weld,,,,2007
1363.47,12:59:00,Cluster,10.0,3.68,17.3,2007
1366.12,01:45:00,Cluster,12.0,13.34,14.31,2007
1366.68,09:25:00,Cluster,12.0,2.83,3.31,2007
1367.08,08:15:00,Cluster,11.0,44.24,12.19,2007
1368.18,02:10:00,Cluster,11.0,26.45,12.59,2007
1371.07,08:09:00,Cluster,10.0,14.12,13.51,2007
1371.53,02:05:00,Cluster,13.0,12.13,11.86,2007
1372.43,02:18:00,Cluster,10.0,15.32,11.54,2007
1374.44,08:16:00,Cluster,10.0,7.01,11.81,2007
1376.07,09:46:00,Cluster,11.0,1.7,1.82,2007
1379.91,08:27:00,Cluster,10.0,6.49,11.08,2007
1380.08,02:04:00,Cluster,11.0,13.16,12.61,2007
1380.97,08:22:00,Cluster,10.0,5.74,2.72,2007
1381.24,03:04:00,Cluster,10.0,2.18,3.77,2007
1382.61,02:04:00,Cluster,11.0,9.08,11.83,2007
1383.64,08:21:00,Cluster,10.0,4.88,11.98,2007
1389.89,01:56:00,Cluster,13.0,9.49,12.15,2007
1394.54,01:56:00,Cluster,10.0,7.66,14.01,2007
1394.71,08:29:00,Cluster,11.0,13.49,11.29,2007
1395.92,08:36:00,Cluster,11.0,4.52,9.59,2007
1398.09,06:48:00,Cluster,11.0,5.52,20.09,2007
1398.71,08:22:00,Cluster,10.0,8.11,17.45,2007
1398.71,02:13:00,Cluster,12.0,6.7,10.33,2007
1398.73,05:53:00,Cluster,13.0,7.19,5.91,2007
1399.29,,Girth Weld,,,,2007
1399.35,01:53:00,Cluster,11.0,5.58,13.26,2007
1399.82,01:48:00,Cluster,10.0,12.95,14.68,2007
1404.28,02:43:00,Cluster,10.0,1.58,6.47,2007
1404.92,08:30:00,Cluster,11.0,3.47,2.81,2007
1404.97,08:38:00,Cluster,10.0,6.19,10.12,2007
1406.04,09:15:00,Cluster,10.0,5.17,8.04,2007
1406.96,08:23:00,Cluster,10.0,17.59,13.24,2007
1408.53,08:39:00,Cluster,10.0,9.12,11.21,2007
1409.15,02:10:00,Cluster,10.0,6.43,5.91,2007
1412.54,08:51:00,Cluster,11.0,18.37,11.52,2007
1415.09,02:10:00,Cluster,10.0,4.85,6.79,2007
1419.21,12:22:00,metal loss,10.0,0.67,0.71,2007
1419.48,08:29:00,Cluster,12.0,33.85,14.64,2007
1423.37,01:53:00,Cluster,10.0,6.65,6.49,2007
1424.4,08:42:00,Cluster,11.0,37.4,13.43,2007
1425.43,02:17:00,Cluster,14.0,12.29,7.46,2007
1428.94,01:54:00,Cluster,10.0,6.01,8.48,2007
1429.49,01:49:00,Cluster,12.0,7.54,8.63,2007
1430.91,02:09:00,Cluster,10.0,3.85,6.58,2007
1432.34,01:44:00,Cluster,10.0,12.38,12.38,2007
1433.32,11:41:00,metal loss-manufacturing anomaly,12.0,0.63,0.71,2007
1435.54,01:56:00,Cluster,10.0,5.23,9.59,2007
1438.5,01:51:00,Cluster,10.0,6.94,7.96,2007
1438.75,08:03:00,Cluster,17.0,6.48,15.12,2007
1439.23,,Girth Weld,,,,2007
1439.24,09:11:00,Cluster,12.0,5.89,7.73,2007
1439.25,02:12:00,Cluster,10.0,4.03,5.74,2007
1448.43,07:38:00,Cluster,10.0,1.15,3.46,2007
1454.64,09:12:00,Cluster,11.0,3.89,10.58,2007
1458.54,09:57:00,Cluster,10.0,0.62,1.8,2007
1461.84,09:27:00,Cluster,11.0,8.21,8.67,2007
1462.59,08:49:00,Cluster,10.0,11.21,11.42,2007
1463.37,01:04:00,Cluster,10.0,19.98,11.21,2007
1464.89,01:04:00,Cluster,10.0,13.72,11.71,2007
1466.02,09:03:00,Cluster,10.0,21.9,12.67,2007
1466.43,01:09:00,Cluster,10.0,10.44,10.05,2007
1473.88,01:26:00,Cluster,10.0,5.68,10.33,2007
1474.28,,Girth Weld,,,,2007
1477.89,09:03:00,Cluster,11.0,34.78,13.8,2007
1481.13,03:23:00,metal loss,10.0,0.59,0.55,2007
1481.25,01:04:00,Cluster,10.0,5.84,12.13,2007
1488.59,09:19:00,metal loss,10.0,0.51,0.63,2007
1494.04,08:52:00,Cluster,11.0,20.58,12.23,2007
1507.88,01:14:00,Cluster,10.0,7.0,7.88,2007
1510.97,01:46:00,Cluster,11.0,4.04,6.24,2007
1512.3,09:43:00,Cluster,10.0,4.52,6.97,2007
1514.27,,Girth Weld,,,,2007
1517.65,01:33:00,Cluster,10.0,12.73,8.61,2007
1518.41,01:02:00,Cluster,10.0,10.87,6.7,2007
1542.43,01:47:00,Cluster,10.0,6.01,5.8,2007
1553.88,10:11:00,Cluster,10.0,4.56,8.27,2007
1554.3,,Girth Weld,,,,2007
1560.05,09:56:00,metal loss,11.0,0.75,0.55,2007
1563.79,10:26:00,Cluster,10.0,10.93,6.66,2007
1571.84,10:40:00,Cluster,11.0,4.52,3.33,2007
1575.87,10:35:00,Cluster,15.0,7.39,6.91,2007
1582.01,10:37:00,Cluster,10.0,3.26,4.34,2007
1584.15,10:35:00,Cluster,14.0,3.89,3.14,2007
1584.61,10:37:00,Cluster,11.0,13.44,6.97,2007
1587.53,10:14:00,Cluster,10.0,4.07,6.97,2007
1593.8,09:06:00,Cluster,10.0,5.5,16.65,2007
1594.3,,Girth Weld,,,,2007
1595.0,08:21:00,Cluster,14.0,5.1,20.55,2007
1595.1,06:57:00,metal loss,20.0,1.18,6.34,2007
1609.99,12:24:00,metal loss,10.0,0.67,0.59,2007
1628.77,10:29:00,Cluster,11.0,0.8,2.12,2007
1634.38,09:54:00,Cluster,10.0,5.09,11.1,2007
1634.4,,Girth Weld,,,,2007
1634.41,12:16:00,Cluster,10.0,6.9,26.12,2007
1635.31,12:19:00,Cluster,11.0,4.88,22.14,2007
1673.93,09:27:00,Cluster,11.0,6.3,11.71,2007
1674.51,09:47:00,Cluster,10.0,5.08,12.73,2007
1674.51,,Girth Weld,,,,2007
1696.83,12:20:00,Cluster,11.0,0.92,2.85,2007
1714.09,09:52:00,Cluster,11.0,5.06,11.94,2007
1714.51,,Girth Weld,,,,2007
1754.45,,Girth Weld,,,,2007
1790.51,11:07:00,Cluster,10.0,2.77,2.26,2007
1794.43,,Girth Weld,,,,2007
1821.46,,Girth Weld,,,,2007
1861.47,,Girth Weld,,,,2007
1901.36,,Girth Weld,,,,2007
1940.19,,Girth Weld,,,,2007
1980.16,,Girth Weld,,,,2007
2020.22,,Girth Weld,,,,2007
2060.32,,Girth Weld,,,,2007
2100.43,,Girth Weld,,,,2007
2104.45,11:59:00,metal loss,13.0,0.51,0.59,2007
2112.13,11:54:00,Cluster,10.0,2.84,2.81,2007
2113.52,06:42:00,metal loss,14.0,0.79,0.71,2007
2114.25,11:06:00,metal loss,10.0,1.34,0.79,2007
2118.73,06:09:00,Cluster,13.0,2.03,3.02,2007
2120.53,12:49:00,metal loss,10.0,0.35,0.71,2007
2121.87,12:44:00,Cluster,11.0,2.93,4.88,2007
2123.05,04:56:00,metal loss,12.0,0.75,0.83,2007
2124.09,05:21:00,metal loss,10.0,0.71,0.71,2007
2126.34,06:03:00,metal loss,11.0,0.79,1.14,2007
2126.98,06:06:00,Cluster,22.0,1.81,2.98,2007
2127.06,06:58:00,Cluster,11.0,2.38,2.05,2007
2136.49,12:00:00,metal loss,15.0,0.75,0.71,2007
2137.77,11:17:00,Cluster,12.0,4.24,4.38,2007
2139.38,11:57:00,metal loss,11.0,0.43,0.71,2007
2140.31,04:47:00,metal loss,12.0,0.67,0.71,2007
2140.46,,Girth Weld,,,,2007
2146.34,11:59:00,Cluster,10.0,1.81,1.4,2007
2148.19,05:36:00,metal loss,19.0,0.79,0.55,2007
2150.44,07:16:00,metal loss,10.0,0.71,0.71,2007
2153.51,06:39:00,metal loss,15.0,0.91,0.91,2007
2157.49,06:58:00,metal loss,25.0,0.71,0.63,2007
2159.58,11:44:00,metal loss,10.0,1.26,1.06,2007
2161.08,06:40:00,metal loss,17.0,0.63,0.55,2007
2174.62,06:31:00,metal loss,12.0,0.87,0.91,2007
2176.77,12:04:00,metal loss,14.0,0.59,0.79,2007
2179.28,04:34:00,metal loss,10.0,0.59,0.71,2007
2179.45,05:04:00,Cluster,11.0,2.76,4.38,2007
2180.5,,Girth Weld,,,,2007
2181.73,05:17:00,metal loss,12.0,1.61,0.83,2007
2184.26,12:11:00,metal loss,10.0,0.51,0.71,2007
2192.61,07:18:00,metal loss,12.0,0.59,0.71,2007
2194.13,11:58:00,metal loss,11.0,0.71,0.59,2007
2218.72,05:13:00,metal loss,12.0,0.98,0.71,2007
2220.24,05:23:00,Cluster,16.0,3.12,2.77,2007
2220.24,06:19:00,metal loss,11.0,0.91,0.59,2007
2220.57,,Girth Weld,,,,2007
2222.85,07:15:00,metal loss,15.0,0.55,0.71,2007
2226.67,07:10:00,metal loss,10.0,0.59,0.71,2007
2226.72,06:24:00,metal loss,10.0,0.91,0.63,2007
2227.98,07:20:00,metal loss,12.0,0.63,0.71,2007
2228.8,06:27:00,metal loss,10.0,0.71,0.71,2007
2233.04,06:24:00,metal loss,13.0,0.79,0.94,2007
2233.17,04:57:00,Cluster,11.0,1.76,1.11,2007
2234.36,07:33:00,Cluster,11.0,2.12,0.73,2007
2234.69,05:14:00,metal loss,12.0,0.63,0.71,2007
2235.25,06:23:00,metal loss,10.0,1.1,0.83,2007
2238.9,05:19:00,Cluster,15.0,2.34,1.11,2007
2241.2,04:59:00,metal loss,15.0,0.67,0.71,2007
2241.84,05:26:00,metal loss,12.0,0.59,0.71,2007
2243.92,06:21:00,metal loss,17.0,0.71,0.71,2007
2244.89,06:11:00,metal loss,11.0,0.75,0.63,2007
2247.01,05:31:00,metal loss,17.0,0.87,0.71,2007
2248.76,06:26:00,metal loss,16.0,0.63,0.59,2007
2249.29,06:01:00,metal loss,10.0,0.71,0.71,2007
2249.5,06:28:00,metal loss,11.0,0.71,0.71,2007
2253.91,05:23:00,metal loss,13.0,0.47,0.71,2007
2255.76,05:25:00,Cluster,18.0,1.94,0.69,2007
2257.41,06:25:00,metal loss,13.0,0.79,0.67,2007
2258.13,04:55:00,Cluster,11.0,4.56,3.83,2007
2260.11,05:32:00,Cluster,15.0,3.11,3.31,2007
2260.38,,Girth Weld,,,,2007
2260.47,05:35:00,Cluster,13.0,1.57,4.48,2007
2262.01,07:07:00,metal loss,10.0,0.67,0.71,2007
2263.98,05:57:00,Cluster,13.0,1.66,0.69,2007
2266.01,11:47:00,metal loss,10.0,0.47,0.71,2007
2267.26,06:03:00,metal loss,10.0,0.79,0.59,2007
2268.51,05:25:00,metal loss,12.0,0.55,0.71,2007
2270.99,06:27:00,Cluster,10.0,1.86,1.43,2007
2290.43,05:30:00,Cluster,10.0,3.88,0.71,2007
2290.98,05:42:00,Cluster,12.0,1.62,3.27,2007
2300.05,05:52:00,Cluster,15.0,4.56,4.34,2007
2300.12,03:49:00,Cluster,16.0,4.03,8.09,2007
2300.45,,Girth Weld,,,,2007
2302.29,05:47:00,metal loss,13.0,0.67,0.71,2007
2310.0,06:09:00,metal loss,10.0,1.02,0.87,2007
2310.53,06:03:00,metal loss,14.0,0.98,0.87,2007
2310.84,,Girth Weld,,,,2007
2350.86,,Girth Weld,,,,2007
2358.48,,Bend,,,,2007
2365.92,,Girth Weld,,,,2007
2368.29,05:40:00,Cluster,13.0,5.62,5.97,2007
2389.72,,Girth Weld,,,,2007
2429.86,,Girth Weld,,,,2007
2469.96,,Girth Weld,,,,2007
2510.05,,Girth Weld,,,,2007
2550.13,,Girth Weld,,,,2007
2590.23,,Girth Weld,,,,2007
2630.32,,Girth Weld,,,,2007
2670.39,,Girth Weld,,,,2007
2710.45,,Girth Weld,,,,2007
2750.53,,Girth Weld,,,,2007
2790.6,,Girth Weld,,,,2007
2830.64,,Girth Weld,,,,2007
2870.64,,Girth Weld,,,,2007
2874.56,,Bend,,,,2007
2878.92,,Girth Weld,,,,2007
2909.7,,Girth Weld,,,,2007
2949.73,,Girth Weld,,,,2007
2982.66,11:01:00,metal loss,10.0,0.51,0.71,2007
2989.67,,Girth Weld,,,,2007
2991.42,09:37:00,Cluster,12.0,0.77,1.72,2007
2991.61,09:42:00,metal loss,13.0,0.55,0.55,2007
2993.61,09:30:00,Cluster,10.0,1.58,1.36,2007
2993.91,02:16:00,Cluster,12.0,1.63,0.67,2007
2994.5,09:17:00,Cluster,10.0,4.84,2.81,2007
3002.07,08:30:00,metal loss,10.0,0.51,0.55,2007
3002.24,08:29:00,metal loss,11.0,0.67,0.71,2007
3018.05,03:09:00,metal loss,10.0,0.63,0.63,2007
3019.88,08:31:00,Cluster,10.0,1.76,1.24,2007
3029.46,,Girth Weld,,,,2007
3051.05,04:35:00,Cluster,10.0,4.02,0.71,2007
3054.83,04:18:00,Cluster,10.0,3.74,1.05,2007
3055.25,04:22:00,metal loss,11.0,0.67,0.71,2007
3056.51,04:17:00,Cluster,11.0,3.52,0.69,2007
3056.8,07:17:00,Cluster,11.0,4.99,3.83,2007
3057.87,04:12:00,Cluster,11.0,3.41,1.2,2007
3058.36,04:17:00,metal loss,12.0,0.71,0.55,2007
3058.57,03:57:00,Cluster,11.0,6.88,2.77,2007
3059.08,07:18:00,Cluster,11.0,9.0,3.37,2007
3059.27,04:14:00,metal loss,10.0,0.91,0.71,2007
3059.76,03:47:00,Cluster,11.0,13.36,5.59,2007
3059.92,07:18:00,Cluster,11.0,7.37,3.88,2007
3060.69,07:42:00,Cluster,15.0,7.08,1.34,2007
3061.38,07:39:00,Cluster,15.0,11.11,2.28,2007
3061.47,03:59:00,Cluster,15.0,4.7,5.41,2007
3061.97,03:37:00,Cluster,10.0,6.55,5.03,2007
3062.41,07:34:00,Cluster,13.0,5.17,3.33,2007
3063.09,07:39:00,Cluster,11.0,5.63,3.44,2007
3063.55,03:46:00,Cluster,11.0,4.67,2.98,2007
3069.07,08:17:00,Cluster,12.0,4.69,5.59,2007
3069.45,,Girth Weld,,,,2007
3075.31,12:00:00,Tap,,,,2007
3109.4,,Girth Weld,,,,2007
3147.83,,Girth Weld,,,,2007
3187.86,,Girth Weld,,,,2007
3227.9,,Girth Weld,,,,2007
3267.93,,Girth Weld,,,,2007
3307.98,,Girth Weld,,,,2007
3347.22,03:48:00,metal loss,14.0,1.18,2.24,2007
3347.3,07:29:00,metal loss,11.0,0.71,0.94,2007
3348.1,,Girth Weld,,,,2007
3388.15,,Girth Weld,,,,2007
3406.04,05:32:00,Cluster,18.0,2.56,2.85,2007
3427.3,07:45:00,metal loss,12.0,0.87,1.93,2007
3428.16,,Girth Weld,,,,2007
3468.12,,Girth Weld,,,,2007
3508.11,,Girth Weld,,,,2007
3548.05,,Girth Weld,,,,2007
3588.09,,Girth Weld,,,,2007
3628.09,,Girth Weld,,,,2007
3668.09,,Girth Weld,,,,2007
3708.03,,Girth Weld,,,,2007
3742.6,,Girth Weld,,,,2007
3782.11,,Girth Weld,,,,2007
3822.05,,Girth Weld,,,,2007
3862.02,,Girth Weld,,,,2007
3901.98,,Girth Weld,,,,2007
3941.95,,Girth Weld,,,,2007
3981.92,,Girth Weld,,,,2007
4021.85,,Girth Weld,,,,2007
4061.77,,Girth Weld,,,,2007
4089.87,,Girth Weld,,,,2007
4129.81,,Girth Weld,,,,2007
4169.72,,Girth Weld,,,,2007
4209.61,,Girth Weld,,,,2007
4249.57,,Girth Weld,,,,2007
4289.56,,Girth Weld,,,,2007
4329.71,,Girth Weld,,,,2007
4369.88,,Girth Weld,,,,2007
4409.94,,Girth Weld,,,,2007
4450.01,,Girth Weld,,,,2007
4490.05,,Girth Weld,,,,2007
4530.09,,Girth Weld,,,,2007
4530.89,04:11:00,metal loss,15.0,1.02,2.32,2007
4570.15,,Girth Weld,,,,2007
4609.09,06:16:00,Cluster,17.0,3.47,6.35,2007
4610.18,,Girth Weld,,,,2007
4650.21,,Girth Weld,,,,2007
4690.15,,Girth Weld,,,,2007
4730.12,,Girth Weld,,,,2007
4770.09,,Girth Weld,,,,2007
4810.08,,Girth Weld,,,,2007
4850.01,,Girth Weld,,,,2007
4890.05,,Girth Weld,,,,2007
4918.04,,Girth Weld,,,,2007
4957.85,06:00:00,Cathodic Protection Point,,,,2007
4957.91,,Girth Weld,,,,2007
4997.71,,Girth Weld,,,,2007
5024.29,03:43:00,metal loss-manufacturing anomaly,15.0,0.67,0.55,2007
5034.22,,Girth Weld,,,,2007
5074.25,,Girth Weld,,,,2007
5104.73,,Girth Weld,,,,2007
5144.75,,Girth Weld,,,,2007
5184.86,,Girth Weld,,,,2007
5202.44,,Above Ground Marker,,,,2007
5223.59,,Girth Weld,,,,2007
5263.65,,Girth Weld,,,,2007
5292.54,06:14:00,Cluster,14.0,2.69,2.22,2007
5294.02,05:59:00,Cluster,12.0,1.72,0.69,2007
5303.53,,Girth Weld,,,,2007
5342.18,03:18:00,Cluster,43.0,6.68,36.53,2007
5343.56,,Girth Weld,,,,2007
5344.35,09:41:00,Cluster,16.0,2.0,12.63,2007
5344.55,02:33:00,Cluster,16.0,1.02,3.67,2007
5361.13,06:20:00,Cluster,21.0,4.13,6.03,2007
5361.85,06:06:00,metal loss,15.0,0.94,0.55,2007
5361.96,06:40:00,metal loss,29.0,1.73,1.14,2007
5362.03,07:18:00,Cluster,54.0,4.21,2.14,2007
5362.14,04:39:00,Cluster,28.0,4.5,2.77,2007
5362.5,07:01:00,Cluster,40.0,4.68,5.72,2007
5362.62,04:50:00,Cluster,13.0,2.05,2.33,2007
